sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
1053,0.01157089,0.24549446,0.00820294,1.6025,0,4869.4207,15.06,29222.0
2210,0.01071682,0.31300414,0.00161668,1.1641,1,1806.6789,18.07,13085.0
769,0.01179909,0.27035411,0.00849057,1.4839,0,3783.5391,11.04,24696.0
3435,0.01087243,0.38838798,0.00115352,0.9518,1,639.0441,33.13,7370.0
877,0.01901702,0.29604459,0.00116289,2.1841,0,9154.9227,13.05,45646.0
3395,0.00759408,0.29213376,0.00520946,0.8838,1,586.2267,23.09,5759.0
3928,0.01233086,0.46428378,0.00696586,0.903,1,903.5972,6.02,7509.0
1001,0.01602276,0.46588871,0.00475071,1.1693,1,1484.4195,10.04,13636.0
1593,0.01132131,0.37719481,0.00522527,1.0205,1,1028.0327,14.06,10105.0
1985,0.01514625,0.39731098,0.00284518,1.2961,0,2260.0727,15.06,17749.0
1452,0.00069379,0.03987634,0.00578349,0.5915,0,578.0,0.0,1083.0
1376,0.01120873,0.31622962,0.00839483,1.2051,0,1983.5534,12.05,15394.0
1491,0.01547052,0.35168372,0.00530123,1.4957,0,3463.1781,13.05,24443.0
1064,0.00453589,0.30914209,0.00845884,0.4989,0,846.0,0.0,1892.0
281,0.00979977,0.27296953,0.00685163,1.2206,0,2378.2569,16.06,16571.0
1891,0.01819742,0.26539829,0.00904369,2.3313,0,10500.7928,11.04,48378.0
2682,0.0026132,0.31724815,0.00563364,0.2801,0,563.0,0.0,741.0
2427,0.01001082,0.43467623,0.00755265,0.783,0,755.0,0.0,4105.0
719,0.00722806,0.18099037,0.00301115,1.3578,0,2212.7457,26.1,19111.0
697,0.00625868,0.20064392,0.00636417,1.0606,1,1321.3214,25.1,10924.0
2908,0.00897201,0.31890632,0.00184637,0.9565,1,799.8205,21.08,8000.0
3859,0.01685824,0.34232832,0.00610309,1.6744,0,5054.3634,11.04,29846.0
835,0.00157324,0.05793177,0.00594375,0.9233,1,820.8936,74.3,6704.0
3012,0.0135124,0.49450725,0.00209561,0.929,1,439.4165,23.09,6662.0
2741,0.01841077,0.28243056,0.00759171,2.2164,0,9678.3217,11.04,46244.0
