sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3165,0.0150896,0.50481754,0.00185766,1.0163,1,1209.242,12.05,9985.0
1597,0.00988181,0.27428891,0.00196294,1.2249,0,1702.5412,25.1,15189.0
1138,0.00261201,0.14980973,0.00437567,0.5928,0,438.0,0.0,1393.0
300,0.01179971,0.69398151,0.0003216,0.5781,0,32.0,0.0,43.0
2026,0.00217192,0.92214187,0.00092967,0.0801,0,93.0,0.0,103.0
2304,0.00191082,0.81791167,0.00230647,0.0794,0,231.0,0.0,245.0
3666,0.01250131,0.83295547,0.00724277,0.5103,0,724.0,0.0,1513.0
2447,0.00530446,0.81934113,0.00646613,0.2201,0,647.0,0.0,771.0
2397,0.01719795,0.8555737,0.00549722,0.6834,0,550.0,0.0,3861.0
1605,0.00622215,0.24619796,0.00816567,0.8593,1,911.5556,17.07,7676.0
1495,0.00429781,0.91622771,0.00269322,0.1595,0,269.0,0.0,306.0
942,0.01028145,0.19902409,0.00484648,1.7564,0,5426.7322,20.08,32114.0
255,0.00540301,0.59273939,0.00617186,0.3099,0,617.0,0.0,832.0
1758,0.01044328,0.67510955,0.00416077,0.5259,0,416.0,0.0,956.0
258,0.00226811,0.61429975,0.00956839,0.1255,0,957.0,0.0,1045.0
3382,0.0135084,0.87392166,0.00131789,0.5255,0,132.0,0.0,441.0
2442,0.01957546,0.5124097,0.00955889,1.2989,0,2734.1716,9.04,19732.0
1209,0.00434126,0.21091258,0.0046364,0.6998,0,464.0,0.0,1771.0
3921,0.01129044,0.73954966,0.00827956,0.5191,0,828.0,0.0,1958.0
3812,0.00931469,0.92019313,0.00794012,0.3442,0,794.0,0.0,1135.0
3084,0.00313412,0.95910882,0.00233355,0.1111,0,233.0,0.0,255.0
2219,0.01548626,0.8537818,0.0013975,0.6167,0,140.7057,14.06,1625.0
3131,0.01729392,0.7073651,0.0029666,0.8312,1,297.0,0.0,3452.0
3643,0.01410294,0.5767122,0.0084148,0.8314,1,841.0,0.0,5525.0
1582,0.00174686,0.14612692,0.00162362,0.4065,0,162.0,0.0,327.0
3256,0.01682655,0.23179868,0.00561859,2.4681,0,11630.0552,13.05,51011.0
563,0.01350017,0.88544828,0.00398435,0.5184,0,398.0,0.0,798.0
1823,0.00312226,0.77495348,0.00548228,0.137,0,548.0,0.0,607.0
1789,0.01076721,0.59556688,0.00327775,0.6147,0,328.0,0.0,1657.0
916,0.01196015,0.84279894,0.00995434,0.4825,0,995.0,0.0,2091.0
2093,0.01477476,0.26830336,0.00639708,1.8723,0,6647.6958,15.06,36293.0
3463,0.00596698,0.20049008,0.00613528,1.0119,1,1236.5422,21.08,10609.0
1093,0.00835033,0.37918135,0.00401307,0.7487,0,401.0,0.0,4058.0
2069,0.00054323,0.08579952,0.00091211,0.2153,0,91.0,0.0,105.0
2667,0.01591859,0.97013737,0.00554985,0.5579,0,555.0,0.0,1858.0
864,0.00529721,0.60071628,0.00556671,0.2998,0,557.0,0.0,864.0
3864,0.01336534,0.51781782,0.00499511,0.8776,1,793.3192,11.04,6272.0
2112,0.00110527,0.43010871,0.00452398,0.0874,0,452.0,0.0,470.0
3951,0.00494035,0.91524168,0.00262693,0.1835,0,263.0,0.0,317.0
1854,0.01090946,0.33759381,0.00074068,1.0987,1,74.0,0.0,191.0
3874,0.00336998,0.67748366,0.00724952,0.1691,0,725.0,0.0,817.0
1862,0.0025708,0.9567449,0.00555534,0.0914,0,556.0,0.0,598.0
