sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
2931,0.004390452290250218,0.7313789548566134,0.007909058844440693,0.3482,791.0,0.0,934.0,0.00934,0
2932,0.011393770208626662,0.5866861947646806,0.007277302180617464,1.1264,728.0,0.0,3816.0,0.03816,1
2933,0.017673572177636872,0.7059639480390546,0.005102864328261174,1.452,541.6500079251919,10.040160642570282,6540.0,0.0654,0
2934,0.013436615728101864,0.6546392082109056,0.00395139956943469,1.1905,395.0,0.0,3120.0,0.0312,1
2935,0.009594292695658788,0.7155461260896615,0.0013255992470772324,0.7777,133.0,0.0,312.0,0.00312,0
2936,0.006635206826528187,0.9083806369823952,0.007872872032013142,0.4237,787.0,0.0,961.0,0.00961,0
2937,0.001991958325920185,0.576565411180607,0.006212897991458805,0.2004,621.0,0.0,675.0,0.00675,0
2938,0.005119154515352865,0.09581331941687535,0.003831128629406365,3.0988,6258.214782198539,43.17269076305221,35062.0,0.35062,0
2939,0.0005203790358114746,0.29270067141349254,0.009196000963061316,0.1031,920.0,0.0,961.0,0.00961,0
2940,0.0197365305752418,0.716972410996501,0.0066307597934774365,1.5966,832.020849027471,9.036144578313253,8504.0,0.08504,0
2941,0.004682900366936177,0.5092523891364031,0.009299464781753088,0.5333,930.0,0.0,1193.0,0.01193,0
2942,0.01635305607090184,0.5620954231410963,0.004796683357362475,1.6874,1102.965496998998,10.040160642570282,9025.0,0.09025,0
2943,0.0036223041715580783,0.6086830417188828,0.004600716458232907,0.3452,460.0,0.0,555.0,0.00555,0
2944,0.005886942647229805,0.4011503947950328,0.009378668974109388,0.8512,938.0,0.0,1796.0,0.01796,1
2945,0.008540063188798824,0.7806786593352195,0.00960193513961098,0.6345,960.0,0.0,1402.0,0.01402,0
2946,0.00669079158358962,0.7318288373796521,0.009611596456900974,0.5303,961.0,0.0,1291.0,0.01291,0
2947,0.016027511011369264,0.7228704298273205,0.008207084199683684,1.286,821.0,0.0,5501.0,0.05501,0
2948,0.019166560137903837,0.7238508688138964,0.004677820833760953,1.5358,715.1449919493414,7.028112449799197,7180.0,0.0718,0
2949,0.017543301327921715,0.8936472616046204,0.002181963013263682,1.1386,259.99476046242904,7.028112449799197,3000.0,0.03,1
2950,0.0033254839788708036,0.6075309960599762,0.0038960647246505,0.3175,390.0,0.0,443.0,0.00443,0
2951,0.015600766924081017,0.9680600335120496,0.009389145166026108,0.9347,939.0,0.0,2218.0,0.02218,1
2952,0.003214554192102815,0.14561690385891876,0.003699187521294969,1.2804,388.6411846203712,56.22489959839358,3428.0,0.03428,0
2953,0.018293607799273397,0.6430002072960485,0.007591502525553022,1.6501,1012.9284975048454,7.028112449799197,9383.0,0.09383,0
