sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
1697,0,0.012083932947185145,0.8718360007145322,0.004049677900886411,0.8039,405.0,0.0,791.0,0.00791,1
1698,0,0.008361420753698046,0.23720760712031386,0.007888376910501257,2.0445,1932.9742347345154,18.072289156626507,14949.0,0.14949,0
1699,0,0.0016101402248348564,0.10738777544156819,0.0007117036846498974,0.8696,71.0,0.0,178.0,0.00178,1
1700,0,0.002183236326185156,0.8634516734806045,0.006315272500459787,0.1467,632.0,0.0,680.0,0.0068,1
1701,0,0.015332761468554815,0.7532449713519005,0.005916743402855931,1.1806,592.0,0.0,2461.0,0.02461,1
1702,0,0.001163773990730545,0.8414844086029645,0.0004918481030135206,0.0802,49.0,0.0,49.0,0.00049,0
1703,0,0.004404699679717406,0.38205133803486163,0.0033283521410467616,0.6687,333.0,0.0,568.0,0.00568,1
1704,0,0.004274542965732366,0.8963934774077451,0.0006291000653964884,0.2766,63.0,0.0,75.0,0.00075,1
1705,0,0.005550032313965741,0.46983848867618877,0.0035313781790849087,0.6851,353.0,0.0,513.0,0.00513,1
1706,0,0.004458409125857842,0.4238311596278456,0.008043406310598546,0.6101,804.0,0.0,1134.0,0.01134,1
1707,0,0.01897067596862945,0.8923227367845825,0.009312068443969408,1.2331,931.0,0.0,2873.0,0.02873,1
1708,0,0.003940512749037732,0.23398900882746596,0.0012378513511342702,0.9768,124.0,0.0,267.0,0.00267,1
1709,0,0.001474433064927776,0.6155430054156543,0.0007971347352863941,0.1389,80.0,0.0,82.0,0.00082,1
1710,0,0.010472737153490917,0.48490936190763667,0.0074369190868418915,1.2526,744.0,0.0,3305.0,0.03305,1
1711,0,0.01951166174808045,0.5192336941980128,0.003311963108083376,2.1795,2174.351366856607,10.040160642570282,16361.0,0.16361,0
1712,0,0.0075737268353883325,0.7781036634771746,0.0038598157688469795,0.5645,386.0,0.0,508.0,0.00508,1
1713,0,0.006663352800660416,0.8613383682702245,0.0060698072414161,0.4487,607.0,0.0,751.0,0.00751,1
1714,0,0.00677331925684977,0.18556530626076348,0.003729693766301798,2.1171,2179.917420591334,31.12449799196787,16650.0,0.1665,0
1715,0,0.0060670478212678436,0.6583226965566924,0.004510509238172951,0.5345,451.0,0.0,584.0,0.00584,1
1716,0,0.005588232626015654,0.5453004902889941,0.009128093018201021,0.5944,913.0,0.0,1385.0,0.01385,1
1717,0,0.014067707727694646,0.6382805971807765,0.0035254850875563568,1.2783,353.0,0.0,4036.0,0.04036,1
1718,0,0.003395550638151717,0.554353572159181,0.002989134815942031,0.3553,299.0,0.0,358.0,0.00358,1
1719,0,0.01098076572711376,0.5766937103954688,0.005953797174041052,1.1044,595.0,0.0,2365.0,0.02365,1
1720,0,0.0058866068567925145,0.7147611413100863,0.0008414173227939703,0.4777,84.0,0.0,167.0,0.00167,1
1721,0,0.00804287911790572,0.1599479355718878,0.008998611621662817,2.9165,5620.326708057627,22.08835341365462,32182.0,0.32182,0
1722,0,0.01726212839859211,0.5591443093303589,0.0010466106041168881,1.7906,1393.3325066606303,12.048192771084338,11346.0,0.11346,1
1723,0,0.005680068647059342,0.4855658385519557,0.00014132239115123785,0.6785,14.0,0.0,24.0,0.00024,1
1724,0,0.014473244234681,0.210286523675221,0.003383427179139577,3.9919,9762.917079121144,17.06827309236948,47497.0,0.47497,0
1725,0,0.01563413109721107,0.9363063649026812,0.002512169558383885,0.9685,251.0,0.0,810.0,0.0081,1
1726,0,0.018100870621733437,0.6160022278786393,0.006086106312551209,1.7043,1090.8491994420524,8.032128514056225,9044.0,0.09044,1
1727,0,0.0017563740161582872,0.3037908741268364,0.0016126082986823046,0.3353,161.0,0.0,196.0,0.00196,1
1728,0,0.003305739451673456,0.8110265489937667,0.006684840289856427,0.2364,668.0,0.0,744.0,0.00744,1
1729,0,0.004117439392823912,0.252611224813633,0.003527914904528315,0.9454,353.0,0.0,1771.0,0.01771,1
1730,0,0.006908247824064367,0.4878221803993737,0.004725311943181317,0.8214,473.0,0.0,846.0,0.00846,1
1731,0,0.012127282178708041,0.7825285796152609,0.006536096840543612,0.8989,654.0,0.0,1512.0,0.01512,1
1732,0,0.006124421207073372,0.36691165349694266,0.008228508560580279,0.9681,823.0,0.0,2002.0,0.02002,1
1733,0,0.019128965035299556,0.7678418691342237,0.0037124778786443383,1.4449,719.5844504461713,7.028112449799197,6072.0,0.06072,1
1734,0,0.017528714039440108,0.594415404419954,0.0050629599878139545,1.7104,743.4907946305665,10.040160642570282,8262.0,0.08262,1
1735,0,0.006194239756666078,0.37535841116964924,0.004377985282314689,0.9571,438.0,0.0,1746.0,0.01746,1
1736,0,0.012387797355229825,0.21808084041668047,0.001816902521834079,3.2946,6557.287124448288,19.076305220883533,36649.0,0.36649,0
1737,0,0.007267846802804557,0.14011163425552092,0.007374734435951246,3.0086,6046.86350977115,26.104417670682732,34249.0,0.34249,0
1738,0,0.008165966371760975,0.5653519629364128,0.0021480550446391143,0.8378,215.0,0.0,551.0,0.00551,1
1739,0,0.01935995664776867,0.5894338028120365,0.007814161437956563,1.905,1608.4035608922836,7.028112449799197,13676.0,0.13676,1
1740,0,0.0069136367180285966,0.7761365531645329,0.0031685151766846277,0.5166,317.0,0.0,379.0,0.00379,1
1741,0,0.008040263914714078,0.410889860962604,0.0017204321913412805,1.1349,172.0,0.0,450.0,0.0045,1
1742,0,0.0014446428626910099,0.8499459867863489,0.008415495766565747,0.0986,842.0,0.0,877.0,0.00877,0
1743,0,0.0010306206757824533,0.26755265382626114,0.009780746940449812,0.2234,978.0,0.0,1051.0,0.01051,1
1744,0,0.010175890461870877,0.6756544141317982,0.00961955895652281,0.8735,962.0,0.0,1999.0,0.01999,1
1745,0,0.011980165892310362,0.9101383092288131,0.000922729350003664,0.7635,92.0,0.0,164.0,0.00164,1
1746,0,0.00367844050983186,0.3608125002031044,0.005231520474260643,0.5913,523.0,0.0,723.0,0.00723,1
1747,0,0.008652564238825742,0.4637605431873835,0.009154106257332699,1.0821,915.0,0.0,3428.0,0.03428,1
1748,0,0.014388724689392611,0.5289548199766398,0.006114618396759986,1.5777,987.6093943047301,11.04417670682731,8550.0,0.0855,1
1749,0,0.004303714351103098,0.925865796467024,0.005346894117561307,0.2696,535.0,0.0,594.0,0.00594,1
