peak_I,test_strategy,train_strategy,augmentation
2484.1562,LHS,MCMC,1
4169.292,LHS,MCMC,1
242.0,LHS,MCMC,1
22.0,LHS,MCMC,1
135.0,LHS,MCMC,1
568.0,LHS,MCMC,1
1040.39,LHS,MCMC,1
62.0,LHS,MCMC,1
919.0,LHS,MCMC,1
1897.3826,LHS,MCMC,1
1041.812,LHS,MCMC,1
4839.9805,LHS,MCMC,1
318.0,LHS,MCMC,1
4838.8574,LHS,MCMC,1
4305.6387,LHS,MCMC,1
6214.1875,LHS,MCMC,1
298.0,LHS,MCMC,1
691.0,LHS,MCMC,1
835.0,LHS,MCMC,1
1217.828,LHS,MCMC,1
109.0,LHS,MCMC,1
15772.793,LHS,MCMC,1
18229.455,LHS,MCMC,1
462.0,LHS,MCMC,1
497.0,LHS,MCMC,1
238.0,LHS,MCMC,1
9149.586,LHS,MCMC,1
448.0,LHS,MCMC,1
427.0,LHS,MCMC,1
572.0,LHS,MCMC,1
17194.953,LHS,MCMC,1
13361.677,LHS,MCMC,1
415.0,LHS,MCMC,1
151.0,LHS,MCMC,1
1885.5867,LHS,MCMC,1
381.0,LHS,MCMC,1
19125.14,LHS,MCMC,1
622.0,LHS,MCMC,1
5579.0376,LHS,MCMC,1
927.0,LHS,MCMC,1
332.12372,LHS,MCMC,1
43.0,LHS,MCMC,1
798.0,LHS,MCMC,1
19704.232,LHS,MCMC,1
2135.9607,LHS,MCMC,1
846.0,LHS,MCMC,1
501.59244,LHS,MCMC,1
850.0,LHS,MCMC,1
91.0,LHS,MCMC,1
166.42644,LHS,MCMC,1
556.0,LHS,MCMC,1
35923.586,LHS,MCMC,1
2466.5747,LHS,MCMC,1
33562.902,LHS,MCMC,1
909.0,LHS,MCMC,1
320.0,LHS,MCMC,1
19.0,LHS,MCMC,1
7106.5654,LHS,MCMC,1
11987.406,LHS,MCMC,1
541.0,LHS,MCMC,1
19245.23,LHS,MCMC,1
617.0,LHS,MCMC,1
4855.3965,LHS,MCMC,1
847.0,LHS,MCMC,1
155.0,LHS,MCMC,1
2079.5144,LHS,MCMC,1
593.0,LHS,MCMC,1
361.0,LHS,MCMC,1
167.04558,LHS,MCMC,1
685.69415,LHS,MCMC,1
408.0,LHS,MCMC,1
40723.434,LHS,MCMC,1
3205.2466,LHS,MCMC,1
62.0,LHS,MCMC,1
63.0,LHS,MCMC,1
723.0,LHS,MCMC,1
889.2799,LHS,MCMC,1
580.67456,LHS,MCMC,1
13269.335,LHS,MCMC,1
341.0,LHS,MCMC,1
90.64192,LHS,MCMC,1
827.94415,LHS,MCMC,1
3136.3215,LHS,MCMC,1
409.0,LHS,MCMC,1
77.0,LHS,MCMC,1
31435.861,LHS,MCMC,1
