tau,gamma,rho,R0,true_peak_I,pred_peak_I
0.016586742783732532,0.8714782110020602,0.008811893320416589,1.1039072111169657,881.0,884.2084859624429
0.00535050756449483,0.4187303549508388,0.0024068710814997133,0.7411199954135985,241.0,232.0831172760873
0.0009287103321837145,0.8876722242220955,0.0060598411047500115,0.06068140671390251,606.0,567.598539327771
0.00665379248707682,0.8720485830140657,0.002866176106654537,0.4425441102336277,287.0,273.4013982986534
0.015583590000295166,0.5515397372969697,0.005804033860599667,1.6387726194431098,966.9988153824515,1073.8091409252524
0.00571060008250441,0.6661572159095321,0.0005677116485290558,0.4972021572010362,57.0,68.73385631099342
0.001125832031670027,0.8359079881064377,0.0029622442485942395,0.07811656159044507,296.0,268.8234151113224
0.011034043842650611,0.24910222628986797,0.003977261578922704,2.5691241399385514,4024.7887351436575,3702.3689676539916
0.006085309393126086,0.318889194036884,0.006574848930145237,1.106804342703722,657.0,648.7751170995633
0.009438046019359696,0.37364045878220437,0.005365721449770532,1.4650626190402647,594.9637267511182,568.6122977621138
0.005850804402178448,0.6315511979232051,0.009277150474488492,0.537322479067823,928.0,913.7544914480832
0.0005852064232035247,0.55053246724834,0.00895413233977821,0.06165298972366244,895.0,845.764399093215
0.019331902069879246,0.534991398704888,0.009761513588136827,2.0958286857832276,2236.860739042658,2158.394046858194
0.007781187739507651,0.9626593906466693,0.0029916929662198717,0.4688147160630466,299.0,292.46263119387595
0.005141121030221158,0.27090802622491866,0.0008840880720453756,1.1006872845666893,117.61684903201159,162.88830431581607
0.0031366040387772096,0.13200811880351093,0.003968896729828272,1.3781200421457689,605.0366822912904,479.0907279909351
0.003097716859000179,0.6690489313415716,0.0073443766076450034,0.268541760408678,734.0,733.1545813249936
0.010362923527974133,0.15284993899745805,0.008619513578361045,3.932285276427198,10022.580585393513,10560.746866232867
0.010185043132368603,0.23822333890510067,0.006709378444010768,2.4797423476324663,3897.428550252229,3484.5075840360037
0.0007881317219710026,0.3732335930943545,0.009421805565607188,0.12247461300398574,942.0,930.632764062402
0.004861907565914585,0.8658774886551514,0.0021843278447867096,0.3256703662096855,218.0,207.80479794254865
0.019597321423737768,0.674222279012401,0.004344205715007701,1.6858604023612875,1247.191442153887,885.61598601171
0.0012915396703290314,0.754556738488298,0.0015275361690957178,0.0992759020735265,153.0,147.5298945343933
0.019839757197565585,0.7797401229319203,0.001195299871402245,1.475755682716449,379.4243488064907,305.03503297891035
0.014249540686970102,0.9945146362712595,0.009170708631431672,0.831031871931989,917.0,862.0982618681554
0.005937802075851739,0.3599581254346787,0.006449848076695498,0.9567571783065568,645.0,629.8678115303692
0.015052125264111442,0.9572393156455966,0.008217452268617743,0.9120219479594456,822.0,785.2526202653132
0.0005153313443300538,0.9721364079821105,0.00547952501510609,0.030745909448227506,548.0,491.7997233399249
0.008184555290515247,0.5250219351809013,0.00018575548951246055,0.9041607122306622,19.0,47.945502110476184
0.0017310301719462835,0.5504027004423642,0.005874157099150322,0.1824114414631181,587.0,577.207584632248
0.0003829136726898199,0.567608263380923,0.0003668262921899756,0.03912732503879186,37.0,123.70574785219537
0.01611605011489371,0.38144523174485623,0.0022017849353025594,2.4504983386161827,3764.186014158076,3306.991610732309
0.011029684257275059,0.7262465703293443,0.0031767314595703153,0.8808601831081242,318.0,305.47412517315445
0.007910481394700138,0.9036693842296586,0.004317429494258011,0.5077165707940001,432.0,417.4023517135569
0.019012507927639637,0.3851001800225255,0.009058703477880186,2.8634768743514942,5581.736797090984,5425.854784793352
0.002930991834337165,0.059971166564961535,0.0034441260516038623,2.834654320212565,4920.060299403782,3040.494259814292
0.014697509217018255,0.5467669184392056,0.003989787291263549,1.5590839640051164,798.1494336020451,691.6535354811618
0.016216378152200686,0.9756890869473686,0.00859270461553036,0.9639852955313167,859.0,848.2379484911555
0.004663504704720065,0.8227936297049615,0.0012434559330259522,0.3287376847712762,124.0,126.53013964298316
0.00917764780631332,0.6467303003285756,0.0032050134051747115,0.8230688627017047,321.0,321.27058272328634
0.00812706429008897,0.6377316973621103,0.0013450351577267957,0.7391348599652745,135.0,129.8714636366691
0.001102962476471734,0.9218993785428536,0.009812884938131178,0.06939132960093096,981.0,834.3653495547935
0.013928869324142123,0.7588862882199946,0.005018475061329734,1.064552665321115,502.0,494.67660990926333
0.0055404253947600535,0.28634736282707013,0.006893653019191753,1.1222197743450093,689.0,731.2226132315425
0.013021148343918472,0.5848051583477193,0.0006837675928383293,1.2914157701362496,338.3193875638352,102.63347663985053
0.01731903304329401,0.5253242415189245,0.004909945739092381,1.9121598379062537,2020.726729682244,1409.9258026125672
0.019079538883674096,0.9576233600768435,0.00871437270639845,1.1555829790579655,871.0,824.41571568345
0.0031459360802584555,0.5518630909116377,0.008157678459608573,0.3306332596977498,816.0,830.2238921535568
0.010856248766584465,0.7314495197769117,0.005771353884772178,0.8608419466239348,577.0,584.7070249164075
0.014063481196853436,0.69287616625857,0.0033430690205114404,1.1772405361005016,334.0,309.0230885071402
0.003164182801559145,0.19256735304388323,0.005451784249846559,0.9530307167311395,545.0,539.0051174368963
0.019605854769126907,0.7201733823061703,0.009634567856950094,1.578980290784926,1024.758216636341,894.7823820021936
0.014258472380172296,0.5152899821061098,0.0037851366744826916,1.6049048628306093,553.0214742062238,682.3092743753158
0.004404987810400242,0.9581010127547428,0.0023541231741959464,0.2666621677693757,235.0,226.22495298959353
0.0009629070766026919,0.14305597959259406,0.002750099039983418,0.3903968963898338,275.0,267.24409816591873
0.01659815375966293,0.7283965109956624,0.00565561471209367,1.3216605290221974,576.9418151886675,541.9989513577862
0.01909409581071671,0.9933220183965007,0.00393889131502601,1.114902857795617,394.0,356.46173618725345
0.0023538179201024172,0.9491395518146485,0.007858555933033647,0.14383705652654186,786.0,737.6195097753049
0.00367844050983186,0.3608125002031044,0.005231520474260643,0.5913030991169974,523.0,557.1383152008665
0.014138202034109515,0.8183307611357317,0.007666616515071307,1.0020590168702466,767.0,760.3756867063736
0.017912094860297337,0.6672054202406498,0.0012945881711080578,1.557093917975863,752.2559118552413,302.68094539093244
0.005506475186028469,0.5507660544714482,0.007396048113839922,0.5798751724017293,740.0,747.0799705618508
0.0047772882692753964,0.20481008594209085,0.008290750004026005,1.352876340749727,829.0,907.5274985858147
0.012043151254897614,0.45537100245470763,0.005421489997583488,1.533920185999407,827.3045398191609,570.1582815420352
0.015282385740750623,0.9980273034971386,0.0020046412702846143,0.8881303846674545,200.0,198.3809834795228
0.01480091962854872,0.41757873228674697,0.0074927645539268495,2.0557879798014587,2108.611303380865,2127.906766994954
0.003110614289411789,0.20997257557711174,0.007316672573133846,0.8592342513778745,732.0,757.7852687485322
0.008384338746001634,0.9231270996926149,0.006463928716215393,0.5267873161019987,646.0,626.0256745602064
0.0013027497186704306,0.5887552118437506,0.009088300984382795,0.1283376896932467,909.0,882.7951931762078
0.005949976864204561,0.4312177844023845,0.006219131022305356,0.8002885562851481,622.0,605.1307503845037
0.014442473287058943,0.9181188190322286,0.00011483963791426091,0.9123693287676901,11.0,48.58527519052859
0.01428859475555773,0.3979206768576151,0.001064317797489275,2.082672612961224,1967.84166909177,1691.0380171080053
0.01464192858391031,0.5357916417143356,0.0014556798516766045,1.5850039301650345,641.4846310601034,537.4198459025919
0.0004556467817619929,0.6631227896805257,0.005072819921978954,0.03985312185534693,507.0,495.27815413152126
0.00432923524760458,0.733071439313938,0.002336316653498712,0.342525476911308,234.0,222.17364783430196
0.007665606342972869,0.21849468269317596,0.0031997224525703327,2.034855779610752,1482.0995500190725,1551.6407278977422
0.00917813055566028,0.3907412245024171,0.0031937768896022197,1.3623634744610964,425.9716561764032,331.39426768904116
0.009005300203455056,0.6003055959834963,0.00586385690135627,0.8700692035773603,586.0,590.8295991419695
0.014399483318773469,0.2330469196183409,0.009773150307900057,3.583699084530328,8296.62588141585,7875.316540026784
0.012210688902561889,0.48943144028093555,0.005150549869753295,1.4470258713703978,619.493547050521,515.9133734694212
0.0032099967559062375,0.4103382180120183,0.0008823741017065394,0.45372281613093324,88.0,143.14658587391528
0.0036283203874586667,0.5445868224141442,0.002317320547591691,0.3864261377822442,232.0,234.9594593994371
0.004743694360270983,0.9484168705815325,0.00918768721329555,0.29009845926403155,919.0,817.5361116149209
0.01344224462958279,0.5632100047634491,0.001263116620114642,1.384297476823514,175.8704024886423,195.7432595990927
0.0029203800155969827,0.9482185492774153,0.004726412810228214,0.1786318576384122,473.0,447.8763828437544
0.013412993597301727,0.5424081714975213,0.007314172244097491,1.4342586810513331,731.0,686.3550498265938
0.01901983482638733,0.8839671845772188,0.003987574237551591,1.2479540408030831,399.0,419.3649346222681
0.009670229713476346,0.524877583856548,0.005525532333946771,1.0685793042648166,553.0,557.7570061604329
0.010790216385324623,0.3441074507249617,0.00973547629099723,1.8187125824515895,1356.875845936807,1896.8320756538487
0.0004878563220669733,0.9361152792394983,0.007615366730934974,0.030226690352572708,762.0,711.1013020248373
0.017857092537207707,0.619325551941315,0.006226761875571502,1.6723213888261907,1152.6236931462356,957.236201806749
0.009996380051241316,0.7772783430076821,0.005880372331407547,0.7459233210184348,588.0,575.6075765481653
0.006440393885707874,0.8647755867972934,0.006875850621105364,0.43195350455541537,688.0,663.3415260393555
