sim_index,tau,gamma,rho,peak_I,peak_time,final_R
1626,0.005231481554054328,0.1931993635199028,0.005966762258526301,880.779921499422,24,7246.0
1627,0.005231481554054328,0.1931993635199028,0.005966762258526301,682.1178633007454,25,7046.0
482,0.009978765686111809,0.4369247991801496,0.009821088896009217,982.0,0,5234.0
483,0.009978765686111809,0.4369247991801496,0.009821088896009217,982.0,0,5463.0
790,0.009633538105173619,0.23438923539416187,0.002987861034127197,2879.205857152743,23,21785.0
791,0.009633538105173619,0.23438923539416187,0.002987861034127197,2772.345618007003,22,20247.0
238,0.003769749904322527,0.29067677569063854,0.009590866242819542,959.0,0,1490.0
239,0.003769749904322527,0.29067677569063854,0.009590866242819542,959.0,0,1749.0
1356,0.010388223781128346,0.04936734018536283,0.007345527363403494,39340.31336596608,26,84155.0
1357,0.010388223781128346,0.04936734018536283,0.007345527363403494,39849.739298516564,25,84267.0
1804,0.014045450296930113,0.10575150858064873,0.002897866425366098,26326.387619578953,19,78780.0
1805,0.014045450296930113,0.10575150858064873,0.002897866425366098,26378.559137229942,19,78807.0
720,0.01558134552571338,0.08154060301297465,0.007029631388802076,36152.12427965868,17,88571.0
721,0.01558134552571338,0.08154060301297465,0.007029631388802076,36867.26949058952,17,88929.0
1290,0.007263828213540003,0.2739583049982567,0.0029277729927282307,510.9919706045559,30,5739.0
1291,0.007263828213540003,0.2739583049982567,0.0029277729927282307,803.4764350777228,19,7001.0
1228,0.02113379639169469,0.2889871223607571,0.009503749329696928,11155.315329179757,10,50880.0
1229,0.02113379639169469,0.2889871223607571,0.009503749329696928,11526.804743440503,9,52323.0
1064,0.019900460014276138,0.39774034060549757,0.007043233065852936,5128.967802207294,9,30738.0
1065,0.019900460014276138,0.39774034060549757,0.007043233065852936,5469.112923403668,9,31688.0
1598,0.02065615274048682,0.37787920733017144,0.00544243993880558,6492.826665192571,10,35639.0
1599,0.02065615274048682,0.37787920733017144,0.00544243993880558,6935.498118536728,9,36404.0
1424,0.022539193674679374,0.4576654503619861,0.0012751648807660118,4524.114329468499,11,28756.0
1425,0.022539193674679374,0.4576654503619861,0.0012751648807660118,4939.138208796968,10,29904.0
1054,0.009114819967393132,0.028589036629122315,0.0058058001506952825,50980.714762973854,33,74088.0
1055,0.009114819967393132,0.028589036629122315,0.0058058001506952825,51394.15029483966,34,73748.0
1314,0.01314296494518973,0.3203505888154113,0.004120233386815298,3249.173286185602,14,21657.0
1315,0.01314296494518973,0.3203505888154113,0.004120233386815298,2498.727546201041,13,19139.0
1162,0.02343363049484286,0.12559187336587468,0.009000651091278056,35807.88686055193,11,89107.0
